date,temp_max,temp_min,rainfall_mm,wind_speed,humidity_max,humidity_min,temp_avg,humidity_avg,month,year,temp_range,high_humidity,heavy_rain,season
2020-01-01,29.1,22.5,2.3,15.1,98,69,25.8,83.5,1,2020,6.600000000000001,1,0,Winter
2020-01-02,29.6,23.3,1.7,12.0,98,66,26.450000000000003,82.0,1,2020,6.300000000000001,1,0,Winter
2020-01-03,30.5,23.2,1.9,10.8,99,65,26.85,82.0,1,2020,7.300000000000001,1,0,Winter
2020-01-04,30.4,22.4,2.0,10.2,100,70,26.4,85.0,1,2020,8.0,1,0,Winter
2020-01-05,30.0,22.9,1.3,12.3,100,69,26.45,84.5,1,2020,7.100000000000001,1,0,Winter
2020-01-06,28.9,22.9,2.2,16.4,97,71,25.9,84.0,1,2020,6.0,1,0,Winter
2020-01-07,28.8,22.7,1.1,16.1,97,66,25.75,81.5,1,2020,6.100000000000001,1,0,Winter
2020-01-08,29.0,22.0,0.6,15.2,97,60,25.5,78.5,1,2020,7.0,0,0,Winter
2020-01-09,30.1,20.3,0.0,11.6,97,49,25.200000000000003,73.0,1,2020,9.8,0,0,Winter
2020-01-10,29.9,19.5,0.0,14.3,96,50,24.7,73.0,1,2020,10.399999999999999,0,0,Winter
2020-01-11,30.4,20.2,0.0,16.8,91,44,25.3,67.5,1,2020,10.2,0,0,Winter
2020-01-12,29.5,21.0,0.1,17.8,93,53,25.25,73.0,1,2020,8.5,0,0,Winter
2020-01-13,30.4,21.0,0.0,15.9,97,48,25.7,72.5,1,2020,9.399999999999999,0,0,Winter
2020-01-14,29.9,20.0,0.0,14.1,95,43,24.95,69.0,1,2020,9.899999999999999,0,0,Winter
2020-01-15,29.0,19.1,0.0,14.8,94,47,24.05,70.5,1,2020,9.899999999999999,0,0,Winter
2020-01-16,29.5,18.2,0.0,13.8,93,52,23.85,72.5,1,2020,11.3,0,0,Winter
2020-01-17,30.1,20.8,1.7,15.4,96,56,25.450000000000003,76.0,1,2020,9.3,0,0,Winter
2020-01-18,29.5,23.0,1.4,18.1,98,64,26.25,81.0,1,2020,6.5,1,0,Winter
2020-01-19,30.8,23.0,0.7,16.8,95,52,26.9,73.5,1,2020,7.800000000000001,0,0,Winter
2020-01-20,31.6,22.0,0.0,16.8,97,46,26.8,71.5,1,2020,9.600000000000001,0,0,Winter
2020-01-21,29.6,21.6,0.1,18.4,95,53,25.6,74.0,1,2020,8.0,0,0,Winter
2020-01-22,29.9,22.5,0.4,20.0,87,57,26.2,72.0,1,2020,7.399999999999999,0,0,Winter
2020-01-23,30.9,23.0,0.9,20.0,92,53,26.95,72.5,1,2020,7.899999999999999,0,0,Winter
2020-01-24,31.5,21.9,0.0,17.4,93,44,26.7,68.5,1,2020,9.600000000000001,0,0,Winter
2020-01-25,31.4,20.5,0.0,15.2,98,42,25.95,70.0,1,2020,10.899999999999999,0,0,Winter
2020-01-26,31.4,19.3,0.0,14.1,99,41,25.35,70.0,1,2020,12.099999999999998,0,0,Winter
2020-01-27,31.5,18.6,0.0,13.8,99,44,25.05,71.5,1,2020,12.899999999999999,0,0,Winter
2020-01-28,32.3,20.0,0.0,15.3,98,42,26.15,70.0,1,2020,12.299999999999997,0,0,Winter
2020-01-29,32.7,20.5,0.0,14.4,100,43,26.6,71.5,1,2020,12.200000000000003,0,0,Winter
2020-01-30,32.8,20.5,0.0,12.0,99,41,26.65,70.0,1,2020,12.299999999999997,0,0,Winter
2020-01-31,32.9,20.2,0.0,15.3,99,43,26.55,71.0,1,2020,12.7,0,0,Winter
2020-02-01,33.0,21.9,0.1,17.7,94,39,27.45,66.5,2,2020,11.100000000000001,0,0,Winter
2020-02-02,32.2,21.8,0.0,16.8,94,39,27.0,66.5,2,2020,10.400000000000002,0,0,Winter
2020-02-03,32.3,21.1,0.0,18.0,96,39,26.7,67.5,2,2020,11.199999999999996,0,0,Winter
2020-02-04,30.6,21.2,0.1,15.2,97,50,25.9,73.5,2,2020,9.400000000000002,0,0,Winter
2020-02-05,31.3,22.0,0.2,17.1,96,45,26.65,70.5,2,2020,9.3,0,0,Winter
2020-02-06,32.7,20.7,0.0,19.1,98,37,26.700000000000003,67.5,2,2020,12.000000000000004,0,0,Winter
